"","Name_original","Name_std","ScientificName","Rank","Kingdom","Phylum","Order","Suborder","Infraorder","Family","Genus","Species","Subspecies","FHLCode","Taxonomy_source"
"1","Abax ovalis","Abax ovalis","Abax ovalis (Duftschmid, 1812)","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Abax","Abax ovalis",NA,"01-.053-.005-.","FHL"
"2","Abax parallelepipedus","Abax parallelepipedus","Abax parallelepipedus","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Abax","Abax parallelepipedus",NA,"01-.053-.002-.","FHL"
"3","Abax parallelus","Abax parallelus","Abax parallelus (Duftschmid, 1812)","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Abax","Abax parallelus",NA,"01-.053-.004-.","FHL"
"4","Abdera affinis","Abdera affinis","Abdera affinis (Paykull, 1799)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Melandryidae","Abdera","Abdera affinis",NA,"80-.007-.001-.","FHL"
"5","Abdera flexuosa","Abdera flexuosa","Abdera flexuosa (Paykull, 1799)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Melandryidae","Abdera","Abdera flexuosa",NA,"80-.007-.002-.","FHL"
"6","Abraeus granulum","Abraeus granulum","Abraeus granulum Erichson, 1839","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Histeridae","Abraeus","Abraeus granulum",NA,"10-.005-.001-.","FHL"
"7","Abraeus parvulus","Abraeus parvulus","Abraeus parvulus Aubé, 1842","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Histeridae","Abraeus","Abraeus parvulus",NA,"10-.005-.002-.","FHL"
"8","Abraeus perpusillus","Abraeus perpusillus","Abraeus perpusillus (Marsham, 1802)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Histeridae","Abraeus","Abraeus perpusillus",NA,"10-.005-.003-.","FHL"
"9","Acalles spec.","Acalles","Acalles Schoenherr, 1825","GENUS","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalles",NA,NA,"93-.135-.000-.","FHL"
"10","Acalles camelus","Acalles camelus","Acalles camelus (Fabricius, 1792)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalles","Acalles camelus",NA,"93-.135-.007-.","FHL"
"11","Acalles echinatus","Acalles echinatus","Acalles echinatus (Germar, 1824)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalles","Acalles echinatus",NA,"93-.135-.012-.","FHL"
"12","Acalles commutatus","Acalles fallax","Acalles fallax Boheman, 1844","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalles","Acalles fallax",NA,"93-.135-.013-.","FHL"
"13","Acalles fallax","Acalles fallax","Acalles fallax Boheman, 1844","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalles","Acalles fallax",NA,"93-.135-.013-.","FHL"
"14","Acalles lemur","Acalles lemur","Acalles lemur (Germar, 1824)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalles","Acalles lemur",NA,"93-.135-.011-.","FHL"
"15","Acalles ptinoides","Acalles ptinoides","Acalles ptinoides (Marsham, 1802)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalles","Acalles ptinoides",NA,"93-.135-.015-.","FHL"
"16","Acallocrates denticollis","Acallocrates denticollis","Acallocrates denticollis (Germar, 1824)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acallocrates","Acallocrates denticollis",NA,"93-.136-.001-.","FHL"
"17","Acalyptus carpini","Acalyptus carpini","Acalyptus carpini (Fabricius, 1792)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Acalyptus","Acalyptus carpini",NA,"93-.101-.001-.","FHL"
"18","Acanthocinus aedilis","Acanthocinus aedilis","Acanthocinus aedilis (Linnaeus, 1758)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Acanthocinus","Acanthocinus aedilis",NA,"87-.079-.001-.","FHL"
"19","Acanthocinus griseus","Acanthocinus griseus","Acanthocinus griseus (Fabricius, 1792)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Acanthocinus","Acanthocinus griseus",NA,"87-.079-.003-.","FHL"
"20","Acanthocinus reticulatus","Acanthocinus reticulatus","Acanthocinus reticulatus (Razoumowsky, 1789)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Acanthocinus","Acanthocinus reticulatus",NA,"87-.079-.002-.","FHL"
"21","Acidota crenata","Acidota crenata","Acidota crenata (Fabricius, 1792)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acidota","Acidota crenata",NA,"23-.030-.001-.","FHL"
"22","Acidota cruentata","Acidota cruentata","Acidota cruentata (Mannerheim, 1830)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acidota","Acidota cruentata",NA,"23-.030-.003-.","FHL"
"23","Acilius canaliculatus","Acilius canaliculatus","Acilius canaliculatus (Nicolai, 1822)","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Dytiscidae","Acilius","Acilius canaliculatus",NA,"04-.030-.002-.","FHL"
"24","Acmaeoderella flavofasciata","Acmaeoderella flavofasciata","Acmaeoderella flavofasciata (Piller & Mitterpacher, 1783)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Elateriformia","Buprestidae","Acmaeoderella","Acmaeoderella flavofasciata",NA,"38-.0011.001-.","FHL"
"25","Acmaeops marginatus","Acmaeops marginatus","Acmaeops marginatus (Fabricius, 1781)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Acmaeops","Acmaeops marginatus",NA,"87-.020-.003-.","FHL"
"26","Acmaeops pratensis","Acmaeops pratensis","Acmaeops pratensis (Laicharting, 1784)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Acmaeops","Acmaeops pratensis",NA,"87-.020-.002-.","FHL"
"27","Acmaeops septentrionis","Acmaeops septentrionis","Acmaeops septentrionis (C. G. Thomson, 1866)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Acmaeops","Acmaeops septentrionis",NA,"87-.020-.001-.","FHL"
"28","Acritus minutus","Acritus minutus","Acritus minutus (Herbst, 1791)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Histeridae","Acritus","Acritus minutus",NA,"10-.007-.002-.","FHL"
"29","Acrossus depressus","Acrossus depressus","Acrossus depressus (Kugelann, 1792)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Scarabeiformia","Scarabaeidae","Acrossus","Acrossus depressus",NA,"85-.018b.002-.","FHL"
"30","Aphodius luridus","Acrossus luridus","Acrossus luridus (Fabricius, 1775)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Scarabeiformia","Scarabaeidae","Acrossus","Acrossus luridus",NA,"85-.018b.003-.","FHL"
"31","Aphodius rufipes","Acrossus rufipes","Acrossus rufipes (Linnaeus, 1758)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Scarabeiformia","Scarabaeidae","Acrossus","Acrossus rufipes",NA,"85-.018b.004-.","FHL"
"32","Acrotona spec.","Acrotona","Acrotona Thomson, 1859","GENUS","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acrotona",NA,NA,"23-.1881.000-.","FHL"
"33","Acrotona exigua","Acrotona exigua","Acrotona exigua (Erichson, 1837)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acrotona","Acrotona exigua",NA,"23-.1881.001-.","FHL"
"34","Acrotona muscorum","Acrotona muscorum","Acrotona muscorum (C. N. F. Brisout de Barneville, 1860)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acrotona","Acrotona muscorum",NA,"23-.1881.010-.","FHL"
"35","Acrotona parvula","Acrotona parvula","Acrotona parvula (Mannerheim, 1830)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acrotona","Acrotona parvula",NA,"23-.1881.013-.","FHL"
"36","Acrotona pseudotenera","Acrotona pseudotenera","Acrotona pseudotenera (Cameron, 1933)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acrotona","Acrotona pseudotenera",NA,"23-.1881.0061.","FHL"
"37","Acrotona pygmaea","Acrotona pygmaea","Acrotona pygmaea (Gravenhorst, 1802)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acrotona","Acrotona pygmaea",NA,"23-.1881.003-.","FHL"
"38","Acrotona sylvicola","Acrotona sylvicola","Acrotona sylvicola (Kraatz, 1856)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acrotona","Acrotona sylvicola",NA,"23-.1881.002-.","FHL"
"39","Acrotona consanguinea","Acrotona troglodytes","Acrotona troglodytes (Motschulsky, 1858)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acrotona","Acrotona troglodytes",NA,"23-.1881.006-.","FHL"
"40","Acrotrichis spec.","Acrotrichis","Acrotrichis Motschulsky, 1848","GENUS","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Ptiliidae","Acrotrichis",NA,NA,"21-.019-.000-.","FHL"
"41","Acrotrichis atomaria","Acrotrichis atomaria","Acrotrichis atomaria (De Geer, 1774)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Ptiliidae","Acrotrichis","Acrotrichis atomaria",NA,"21-.019-.016-.","FHL"
"42","Acrotrichis brevipennis","Acrotrichis brevipennis","Acrotrichis brevipennis (Erichson, 1845)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Ptiliidae","Acrotrichis","Acrotrichis brevipennis",NA,"21-.019-.007-.","FHL"
"43","Acrotrichis cognata","Acrotrichis cognata","Acrotrichis cognata (A. Matthews, 1877)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Ptiliidae","Acrotrichis","Acrotrichis cognata",NA,"21-.019-.011-.","FHL"
"44","Acrotrichis danica","Acrotrichis danica","Acrotrichis danica Sundt, 1958","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Ptiliidae","Acrotrichis","Acrotrichis danica",NA,"21-.019-.018-.","FHL"
"45","Acrotrichis dispar","Acrotrichis dispar","Acrotrichis dispar (A. Matthews, 1865)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Ptiliidae","Acrotrichis","Acrotrichis dispar",NA,"21-.019-.006-.","FHL"
"46","Acrotrichis fascicularis","Acrotrichis fascicularis","Acrotrichis fascicularis (Herbst, 1793)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Ptiliidae","Acrotrichis","Acrotrichis fascicularis",NA,"21-.019-.021-.","FHL"
"47","Acrotrichis grandicollis","Acrotrichis grandicollis","Acrotrichis grandicollis (Mannerheim, 1844)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Ptiliidae","Acrotrichis","Acrotrichis grandicollis",NA,"21-.019-.001-.","FHL"
"48","Acrotrichis insularis","Acrotrichis insularis","Acrotrichis insularis (Mäklin, 1852)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Ptiliidae","Acrotrichis","Acrotrichis insularis",NA,"21-.019-.012-.","FHL"
"49","Acrotrichis intermedia","Acrotrichis intermedia","Acrotrichis intermedia (Gillmeister, 1845)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Ptiliidae","Acrotrichis","Acrotrichis intermedia",NA,"21-.019-.015-.","FHL"
"50","Acrotrichis montandonii","Acrotrichis montandonii","Acrotrichis montandonii (Allibert, 1844)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Ptiliidae","Acrotrichis","Acrotrichis montandonii",NA,"21-.019-.002-.","FHL"
"51","Acrotrichis rugulosa","Acrotrichis rugulosa","Acrotrichis rugulosa Rosskothen, 1935","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Ptiliidae","Acrotrichis","Acrotrichis rugulosa",NA,"21-.019-.022-.","FHL"
"52","Acrotrichis sericans","Acrotrichis sericans","Acrotrichis sericans (Heer, 1841)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Ptiliidae","Acrotrichis","Acrotrichis sericans",NA,"21-.019-.005-.","FHL"
"53","Acrotrichis silvatica","Acrotrichis silvatica","Acrotrichis silvatica Rosskothen, 1935","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Ptiliidae","Acrotrichis","Acrotrichis silvatica",NA,"21-.019-.009-.","FHL"
"54","Acrotrichis sitkaensis","Acrotrichis sitkaensis","Acrotrichis sitkaensis (Motschulsky, 1845)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Ptiliidae","Acrotrichis","Acrotrichis sitkaensis",NA,"21-.019-.019-.","FHL"
"55","Acrulia inflata","Acrulia inflata","Acrulia inflata (Gyllenhal, 1813)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Acrulia","Acrulia inflata",NA,"23-.011-.001-.","FHL"
"56","Acupalpus dubius","Acupalpus dubius","Acupalpus dubius Schilsky, 1888","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Acupalpus","Acupalpus dubius",NA,"01-.046-.008-.","FHL"
"57","Acupalpus exiguus","Acupalpus exiguus","Acupalpus exiguus (Dejean, 1829)","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Acupalpus","Acupalpus exiguus",NA,"01-.046-.010-.","FHL"
"58","Acupalpus flavicollis","Acupalpus flavicollis","Acupalpus flavicollis (J. Sturm, 1825)","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Acupalpus","Acupalpus flavicollis",NA,"01-.046-.002-.","FHL"
"59","Acupalpus meridianus","Acupalpus meridianus","Acupalpus meridianus (Linnaeus, 1760)","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Acupalpus","Acupalpus meridianus",NA,"01-.046-.004-.","FHL"
"60","Adalia bipunctata","Adalia bipunctata","Adalia bipunctata (Linnaeus, 1758)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Coccinellidae","Adalia","Adalia bipunctata",NA,"62-.023-.003-.","FHL"
"61","Adalia conglomerata","Adalia conglomerata","Adalia conglomerata (Linnaeus, 1758)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Coccinellidae","Adalia","Adalia conglomerata",NA,"62-.023-.001-.","FHL"
"62","Adalia decempunctata","Adalia decempunctata","Adalia decempunctata (Linnaeus, 1758)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Coccinellidae","Adalia","Adalia decempunctata",NA,"62-.023-.002-.","FHL"
"63","Aderus populneus","Aderus populneus","Aderus populneus (Creutzer, 1796)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Aderidae","Aderus","Aderus populneus",NA,"74-.002-.008-.","FHL"
"64","Adexius scrobipennis","Adexius scrobipennis","Adexius scrobipennis Gyllenhal, 1834","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Curculionidae","Adexius","Adexius scrobipennis",NA,"93-.121-.001-.","FHL"
"65","Adistemia watsoni","Adistemia watsoni","Adistemia watsoni (Wollaston, 1871)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Latridiidae","Adistemia","Adistemia watsoni",NA,"58-.006-.001-.","FHL"
"66","Adrastus limbatus","Adrastus limbatus","Adrastus limbatus (Fabricius, 1777)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Elateriformia","Elateridae","Adrastus","Adrastus limbatus",NA,"34-.015-.001-.","FHL"
"67","Adrastus pallens","Adrastus pallens","Adrastus pallens (Fabricius, 1792)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Elateriformia","Elateridae","Adrastus","Adrastus pallens",NA,"34-.015-.004-.","FHL"
"68","Adrastus rachifer","Adrastus rachifer","Adrastus rachifer (Geoffroy, 1785)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Elateriformia","Elateridae","Adrastus","Adrastus rachifer",NA,"34-.015-.005-.","FHL"
"69","Acanthoderes clavipes","Aegomorphus clavipes","Aegomorphus clavipes (Schrank, 1781)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Aegomorphus","Aegomorphus clavipes",NA,"87-.077-.001-.","FHL"
"70","Aegomorphus clavipes","Aegomorphus clavipes","Aegomorphus clavipes (Schrank, 1781)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Aegomorphus","Aegomorphus clavipes",NA,"87-.077-.001-.","FHL"
"71","Aegosoma scabricorne","Aegosoma scabricorne","Aegosoma scabricorne (Scopoli, 1763)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Aegosoma","Aegosoma scabricorne",NA,"87-.002-.001-.","FHL"
"72","Megopis scabricornis","Aegosoma scabricorne","Aegosoma scabricorne (Scopoli, 1763)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Aegosoma","Aegosoma scabricorne",NA,"87-.002-.001-.","FHL"
"73","Aeletes atomarius","Aeletes atomarius","Aeletes atomarius (Aubé, 1842)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Histeridae","Aeletes","Aeletes atomarius",NA,"10-.0071.001-.","FHL"
"74","Aesalus scarabaeoides","Aesalus scarabaeoides","Aesalus scarabaeoides (Panzer, 1793)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Scarabeiformia","Lucanidae","Aesalus","Aesalus scarabaeoides",NA,"86-.006-.001-.","FHL"
"75","Agabus melanarius","Agabus melanarius","Agabus melanarius Aubé, 1837","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Dytiscidae","Agabus","Agabus melanarius",NA,"04-.023-.008-.","FHL"
"76","Agapanthia villosoviridescens","Agapanthia villosoviridescens","Agapanthia villosoviridescens (DeGeer, 1775)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Cucujiformia","Cerambycidae","Agapanthia","Agapanthia villosoviridescens",NA,"87-.081-.003-.","FHL"
"77","Agaricochara latissima","Agaricochara latissima","Agaricochara latissima (Stephens, 1832)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Staphylinidae","Agaricochara","Agaricochara latissima",NA,"23-.1301.001-.","FHL"
"78","Agathidium arcticum","Agathidium arcticum","Agathidium arcticum Thomson, 1862","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium arcticum",NA,"16-.011-.012-.","FHL"
"79","Agathidium atrum","Agathidium atrum","Agathidium atrum (Paykull, 1798)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium atrum",NA,"16-.011-.014-.","FHL"
"80","Agathidium badium","Agathidium badium","Agathidium badium Erichson, 1845","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium badium",NA,"16-.011-.018-.","FHL"
"81","Agathidium bohemicum","Agathidium bohemicum","Agathidium bohemicum Reitter, 1885","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium bohemicum",NA,"16-.011-.017-.","FHL"
"82","Agathidium confusum","Agathidium confusum","Agathidium confusum Brisout de Barneville, 1863","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium confusum",NA,"16-.011-.008-.","FHL"
"83","Agathidium convexum","Agathidium convexum","Agathidium convexum Sharp, 1866","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium convexum",NA,"16-.011-.004-.","FHL"
"84","Agathidium discoideum","Agathidium discoideum","Agathidium discoideum Erichson, 1845","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium discoideum",NA,"16-.011-.011-.","FHL"
"85","Agathidium laevigatum","Agathidium laevigatum","Agathidium laevigatum Erichson, 1845","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium laevigatum",NA,"16-.011-.016-.","FHL"
"86","Agathidium mandibulare","Agathidium mandibulare","Agathidium mandibulare Sturm, 1807","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium mandibulare",NA,"16-.011-.006-.","FHL"
"87","Agathidium marginatum","Agathidium marginatum","Agathidium marginatum Sturm, 1807","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium marginatum",NA,"16-.011-.001-.","FHL"
"88","Agathidium nigrinum","Agathidium nigrinum","Agathidium nigrinum Sturm, 1807","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium nigrinum",NA,"16-.011-.010-.","FHL"
"89","Agathidium nigripenne","Agathidium nigripenne","Agathidium nigripenne (Fabricius, 1792)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium nigripenne",NA,"16-.011-.013-.","FHL"
"90","Agathidium pisanum","Agathidium pisanum","Agathidium pisanum Brisout de Barneville, 1872","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium pisanum",NA,"16-.011-.019-.","FHL"
"91","Agathidium rotundatum","Agathidium rotundatum","Agathidium rotundatum (Gyllenhal, 1827)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium rotundatum",NA,"16-.011-.007-.","FHL"
"92","Agathidium seminulum","Agathidium seminulum","Agathidium seminulum (Linnaeus, 1758)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium seminulum",NA,"16-.011-.015-.","FHL"
"93","Agathidium pallidum","Agathidium varians","Agathidium varians Beck, 1817","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium varians",NA,"16-.011-.003-.","FHL"
"94","Agathidium varians","Agathidium varians","Agathidium varians Beck, 1817","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Staphyliniformia","Leiodidae","Agathidium","Agathidium varians",NA,"16-.011-.003-.","FHL"
"95","Agonum fuliginosum","Agonum fuliginosum","Agonum fuliginosum (Panzer, 1809)","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Agonum","Agonum fuliginosum",NA,"01-.062-.028-.","FHL"
"96","Agonum lugens","Agonum lugens","Agonum lugens (Duftschmid, 1812)","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Agonum","Agonum lugens",NA,"01-.062-.020-.","FHL"
"97","Agonum marginatum","Agonum marginatum","Agonum marginatum (Linnaeus, 1758)","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Agonum","Agonum marginatum",NA,"01-.062-.008-.","FHL"
"98","Agonum muelleri","Agonum muelleri","Agonum muelleri (Herbst, 1784)","SPECIES","Animalia","Arthropoda","Coleoptera","Adephaga",NA,"Carabidae","Agonum","Agonum muelleri",NA,"01-.062-.009-.","FHL"
"99","Aphodius ater","Agrilinus ater","Agrilinus ater (De Geer, 1774)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Scarabeiformia","Scarabaeidae","Agrilinus","Agrilinus ater",NA,"85-.018e.001-.","FHL"
"100","Agrilus angustulus","Agrilus angustulus","Agrilus angustulus (Illiger, 1803)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Elateriformia","Buprestidae","Agrilus","Agrilus angustulus",NA,"38-.020-.006-.","FHL"
"101","Agrilus ater","Agrilus ater","Agrilus ater (Linnaeus, 1767)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Elateriformia","Buprestidae","Agrilus","Agrilus ater",NA,"38-.020-.002-.","FHL"
"102","Agrilus auricollis","Agrilus auricollis","Agrilus auricollis Kiesenwetter, 1857","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Elateriformia","Buprestidae","Agrilus","Agrilus auricollis",NA,"38-.020-.028-.","FHL"
"103","Agrilus betuleti","Agrilus betuleti","Agrilus betuleti (Ratzeburg, 1837)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Elateriformia","Buprestidae","Agrilus","Agrilus betuleti",NA,"38-.020-.017-.","FHL"
"104","Agrilus biguttatus","Agrilus biguttatus","Agrilus biguttatus (Fabricius, 1777)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Elateriformia","Buprestidae","Agrilus","Agrilus biguttatus",NA,"38-.020-.003-.","FHL"
"105","Agrilus convexicollis","Agrilus convexicollis","Agrilus convexicollis L. Redtenbacher, 1847","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Elateriformia","Buprestidae","Agrilus","Agrilus convexicollis",NA,"38-.020-.014-.","FHL"
"106","Agrilus cuprescens","Agrilus cuprescens","Agrilus cuprescens Ménétriés, 1832","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Elateriformia","Buprestidae","Agrilus","Agrilus cuprescens",NA,"38-.020-.024-.","FHL"
"107","Agrilus cyanescens","Agrilus cyanescens","Agrilus cyanescens (Ratzeburg, 1837)","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Elateriformia","Buprestidae","Agrilus","Agrilus cyanescens",NA,"38-.020-.015-.","FHL"
"108","Agrilus derasofasciatus","Agrilus derasofasciatus","Agrilus derasofasciatus Lacordaire, 1835","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Elateriformia","Buprestidae","Agrilus","Agrilus derasofasciatus",NA,"38-.020-.010-.","FHL"
"109","Agrilus graminis","Agrilus graminis","Agrilus graminis Kiesenwetter, 1857","SPECIES","Animalia","Arthropoda","Coleoptera","Polyphaga","Elateriformia","Buprestidae","Agrilus","Agrilus graminis",NA,"38-.020-.008-.","FHL"
