Missing_SpeciesID,Similar_Species,Source,Comments
Oxystoma cerdo,Eutrichapion viciae,FHL,
Oxystoma cerdo,Ischnopterapion virens,FHL,
Oxystoma cerdo,Protapion apricans,FHL,
Oxystoma cerdo,Protapion fulvipes,FHL,
Bradycellus harpalinus,Amara aenea,FHL,
Bradycellus harpalinus,Amara communis,FHL,
Bradycellus harpalinus,Amara convexior,FHL,
Bradycellus harpalinus,Amara curta,FHL,
Bradycellus harpalinus,Amara familiaris,FHL,
Bradycellus harpalinus,Amara ovata,FHL,
Bradycellus harpalinus,Amara plebeja,FHL,
Bradycellus harpalinus,Amara similata,FHL,
Bradycellus harpalinus,Diachromus germanus,FHL,
Bradycellus harpalinus,Harpalus affinis,FHL,
Bradycellus harpalinus,Harpalus distinguendus,FHL,
Bradycellus harpalinus,Harpalus laevipes,FHL,
Bradycellus harpalinus,Harpalus latus,FHL,
Bradycellus harpalinus,Harpalus luteicornis,FHL,
Bradycellus harpalinus,Harpalus rufipalpis,FHL,
Bradycellus harpalinus,Harpalus rufipes,FHL,
Bradycellus harpalinus,Harpalus signatocornis,FHL,
Anidorus nigrinus,Euglenes pygmaeus,FHL,
Anidorus nigrinus,Euglenes oculatus,FHL,
Anidorus nigrinus,Aderus populneus,FHL,
Anidorus nigrinus,Pseudanidorus pentatomus,FHL,
Platystomos albinus,Pseudeuparius sepicola,FHL,
Bitoma crenata,Colobicus hirtus,FHL,
Tyrus mucronatus,Batrisodes adnexus,FHL,
Tyrus mucronatus,Batrisodes delaporti,FHL,
Tyrus mucronatus,Batrisodes oculatus,FHL,
Tyrus mucronatus,Batrisodes venustus,FHL,
Tyrus mucronatus,Batrisus formicarius,FHL,
Tyrus mucronatus,Bibloporus bicolor,FHL,
Tyrus mucronatus,Bibloporus mayeti,FHL,
Tyrus mucronatus,Bibloporus minutus,FHL,
Tyrus mucronatus,Euplectus bescidicus,FHL,
Tyrus mucronatus,Euplectus bonvouloiri,FHL,
Tyrus mucronatus,Euplectus brunneus,FHL,
Tyrus mucronatus,Euplectus decipiens,FHL,
Tyrus mucronatus,Euplectus infirmus,FHL,
Tyrus mucronatus,Euplectus karstenii,FHL,
Tyrus mucronatus,Euplectus kirbii,FHL,
Tyrus mucronatus,Euplectus mutator,FHL,
Tyrus mucronatus,Euplectus nanus,FHL,
Tyrus mucronatus,Euplectus piceus,FHL,
